Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2004:Q4,Silent,47.1,42.1,35.6,34.5,48.8,48.2,23.7,40.4,54.3,15.7,14,16.3,44.7
2004:Q4,BabyBoom,45.7,46.9,47.7,45.2,44.8,49.4,66,48.3,37.1,52.8,55.1,44.9,51.6
2004:Q4,GenX,6.9,10.7,16.3,18.8,6.4,2.5,10.2,10.8,8.3,30.4,30.2,36.5,3.6
2004:Q4,Millennial,0.2,0.4,0.5,1.4,0.1,0,0.1,0.5,0.3,1.1,0.8,2.3,0.2
2005:Q1,Silent,46.6,41.5,35.1,34,49,47,23.6,40.2,53.6,15.5,13.7,16.1,46.1
2005:Q1,BabyBoom,45.9,47.1,47.5,45.1,45,50.2,66.7,48.3,37.4,53.1,55.6,44.8,50
2005:Q1,GenX,7.2,11,16.8,19.4,6,2.8,9.6,11,8.7,30.4,30.2,36.5,3.7
2005:Q1,Millennial,0.3,0.4,0.6,1.6,0,0,0.1,0.6,0.3,0.9,0.5,2.6,0.1
2005:Q2,Silent,46,41,34.8,33.1,48.8,45.8,23,39.9,53,15.4,13.6,15.9,47.4
2005:Q2,BabyBoom,46.2,47.2,47.2,44.9,45.1,51.1,67,48.2,38,52.6,54.9,44.6,48.4
2005:Q2,GenX,7.5,11.3,17.3,20.2,6.1,3.1,9.9,11.2,8.7,31,30.9,36.5,4.1
2005:Q2,Millennial,0.4,0.5,0.7,1.8,0,0,0.1,0.7,0.4,1,0.6,3,0.1
2005:Q3,Silent,45.1,40.3,34.3,32.7,48.3,44.7,22.4,39.7,51.9,15.2,13.5,15.6,48.2
2005:Q3,BabyBoom,46.6,47.4,47.1,44.8,45.2,51.9,67,48.1,38.5,52,54.2,44.5,47.5
2005:Q3,GenX,7.9,11.8,17.8,20.5,6.5,3.4,10.5,11.4,9.1,31.6,31.6,36.6,4.2
2005:Q3,Millennial,0.4,0.5,0.7,1.9,0.1,0,0.1,0.8,0.4,1.2,0.7,3.3,0.1
2005:Q4,Silent,44.5,39.7,33.8,32.3,48.2,43.5,21.9,39.4,51.1,15.1,13.4,15.4,51.2
2005:Q4,BabyBoom,47,47.7,47.1,44.7,45.4,52.8,67.1,48.2,39.1,51.4,53.6,44.4,43.9
2005:Q4,GenX,8.1,12.1,18.3,21,6.3,3.7,10.9,11.5,9.3,32.2,32.3,36.6,4.9
2005:Q4,Millennial,0.4,0.6,0.8,2,0.1,0,0.1,0.9,0.5,1.3,0.8,3.6,0
2006:Q1,Silent,43.8,39.1,33.5,31.5,46.9,42.3,21.4,39.1,50.2,15,13.2,15.1,50.2
2006:Q1,BabyBoom,47.3,47.8,46.9,44.6,45.3,53.7,67.3,48.4,39.8,50.7,52.6,44.3,44.8
2006:Q1,GenX,8.5,12.4,18.7,21.7,7.7,3.9,11.2,11.6,9.5,32.8,33.2,36.6,5
2006:Q1,Millennial,0.4,0.6,0.8,2.3,0.2,0,0.1,0.9,0.5,1.5,1,4,0
2006:Q2,Silent,43.4,38.7,33.1,31.1,47.3,41.2,21.3,38.8,49.4,14.9,13.1,14.9,50
2006:Q2,BabyBoom,47.7,48.1,46.8,44.5,45.6,54.5,68,48.4,40.4,50.3,52,44.2,44.7
2006:Q2,GenX,8.5,12.6,19.3,22,7,4.2,10.6,11.7,9.7,33.2,33.8,36.6,5.3
2006:Q2,Millennial,0.4,0.6,0.9,2.4,0.1,0,0.1,1,0.6,1.6,1.1,4.3,0.1
2006:Q3,Silent,42.8,38.1,32.6,30.8,47,40.1,20.8,38.6,48.4,14.7,13,14.5,49.9
2006:Q3,BabyBoom,48,48.3,46.8,44.3,45.7,55.4,68.1,48.5,41,49.9,51.7,43.7,44.5
2006:Q3,GenX,8.7,12.9,19.7,22.4,7.2,4.5,10.9,11.8,10,33.6,34.3,36.9,5.5
2006:Q3,Millennial,0.4,0.7,0.9,2.5,0.1,0,0.1,1.1,0.6,1.8,1.1,4.9,0.1
2006:Q4,Silent,42.1,37.5,32.3,30.2,46.1,38.9,20.2,38.3,47.4,14.6,12.8,14.2,47.6
2006:Q4,BabyBoom,48.3,48.6,46.7,44.2,45.7,56.3,68,48.6,41.5,49.6,51.3,43.5,46.4
2006:Q4,GenX,9.1,13.2,20.1,22.9,7.9,4.8,11.7,11.9,10.4,33.9,34.7,37,5.8
2006:Q4,Millennial,0.5,0.7,0.9,2.6,0.2,0,0.2,1.2,0.7,1.9,1.1,5.4,0.3
2007:Q1,Silent,41.6,37.1,32.2,29.4,45.6,37.8,19.9,38,46.3,14.4,12.7,13.9,48.7
2007:Q1,BabyBoom,48.7,48.7,46.5,44.1,45.8,57.1,68.3,48.9,42.2,48.9,50.4,43.2,45.3
2007:Q1,GenX,9.2,13.4,20.4,23.6,8.4,5.1,11.7,11.9,10.7,34.5,35.4,37.1,5.8
2007:Q1,Millennial,0.5,0.8,0.9,2.9,0.2,0,0.1,1.2,0.7,2.2,1.4,5.8,0.3
2007:Q2,Silent,41.1,36.5,32,28.8,45.3,36.6,19.3,37.7,45.3,14.3,12.6,13.6,46
2007:Q2,BabyBoom,49.1,49,46.3,44,46,57.6,68.1,49,43.1,48.5,49.8,43,48.2
2007:Q2,GenX,9.4,13.7,20.7,24.1,8.5,5.7,12.4,12,10.8,34.8,36,37.1,5.3
2007:Q2,Millennial,0.5,0.8,1,3.1,0.3,0.1,0.2,1.3,0.8,2.4,1.6,6.3,0.5
2007:Q3,Silent,40.7,36.2,31.8,28.3,45.2,35.5,18.9,37.4,44.7,14.1,12.5,13.2,49.1
2007:Q3,BabyBoom,49.4,49.2,46.3,43.9,46.2,58.1,68.3,49.2,43.8,48,49.6,42.5,43.8
2007:Q3,GenX,9.4,13.8,21,24.5,8.4,6.3,12.5,12,10.8,35.3,36.3,37.3,6.8
2007:Q3,Millennial,0.4,0.8,0.9,3.3,0.2,0.1,0.2,1.3,0.7,2.5,1.6,6.9,0.3
2007:Q4,Silent,40.3,35.7,31.6,27.7,44.9,35.1,18.6,37,43.5,13.9,12.4,12.8,45.8
2007:Q4,BabyBoom,50,49.6,46.5,44,46.9,58.3,68.7,49.6,44.7,48,49.4,42.3,46.5
2007:Q4,GenX,9.2,13.7,20.9,24.7,8,6.4,12.5,12,11,35.5,36.5,37.7,7.2
2007:Q4,Millennial,0.5,0.9,1.1,3.6,0.2,0.2,0.2,1.3,0.9,2.7,1.7,7.3,0.4
2008:Q1,Silent,40.2,35.4,31.3,27.4,44.9,34.6,18.7,36.5,42.5,13.6,12.3,12.3,41.2
2008:Q1,BabyBoom,50.6,50.1,46.7,44.2,47.8,58.5,69.9,50.5,45.4,47.9,49.1,41.9,50.9
2008:Q1,GenX,8.8,13.6,20.9,24.7,7.1,6.6,11.3,11.8,11.1,35.6,36.6,38.1,7.2
2008:Q1,Millennial,0.4,0.9,1.1,3.8,0.1,0.2,0.1,1.2,1,3,1.9,7.7,0.7
2008:Q2,Silent,39.7,35,30.9,27.2,44.4,34.2,18.3,36.1,42.4,13.4,12.2,12,42.3
2008:Q2,BabyBoom,51.4,50.6,47,44.3,48.6,58.8,70,50.9,45.8,46.8,47.8,41.9,49.1
2008:Q2,GenX,8.5,13.5,21,24.5,6.9,6.7,11.6,11.8,10.9,36.2,37.2,38.3,8.2
2008:Q2,Millennial,0.3,0.9,1.1,3.9,0.1,0.3,0.1,1.2,1,3.6,2.7,7.8,0.4
2008:Q3,Silent,39.7,34.8,30.7,26.8,45,33.8,18.5,35.6,42,13.1,12.1,11.5,35.4
2008:Q3,BabyBoom,51.9,51,47.2,44.5,50.1,59,71.5,51.5,46,47.5,48.4,41.4,55.8
2008:Q3,GenX,8,13.2,20.9,24.5,4.9,6.9,10,11.7,10.9,35.8,36.9,38.7,7.8
2008:Q3,Millennial,0.4,1,1.2,4.2,0,0.3,0,1.1,1.1,3.5,2.5,8.4,1
2008:Q4,Silent,39.9,34.7,30.5,26.3,47.2,33.4,19.5,35.2,41.6,13,12,11.1,43.1
2008:Q4,BabyBoom,52.6,51.5,47.5,44.7,52.8,59.1,73.9,52.4,45.9,47.1,48.8,41.2,43.4
2008:Q4,GenX,7.1,12.7,20.7,24.6,0,7.1,6.5,11.5,11.5,36.3,36.7,39,13
2008:Q4,Millennial,0.5,1.1,1.3,4.4,0,0.4,0,1,1.1,3.6,2.5,8.7,0.5
2009:Q1,Silent,39.6,34.3,30.2,25.8,46.3,33.1,19.3,34.7,41.7,12.7,11.9,10.7,42.7
2009:Q1,BabyBoom,52.9,51.8,47.7,45,53.7,59.2,74.8,53.3,45.9,47.5,49.3,40.9,42.8
2009:Q1,GenX,7,12.7,20.6,24.6,0,7.2,5.9,11.2,11.3,36.3,36.5,39.3,14.2
2009:Q1,Millennial,0.5,1.1,1.4,4.6,0,0.5,0,0.7,1.1,3.5,2.3,9.1,0.3
2009:Q2,Silent,38.7,33.7,29.7,25.6,43.3,32.8,17.7,34.2,41.3,12.5,11.8,10.4,38.6
2009:Q2,BabyBoom,53.3,52.2,48,45.2,53.4,59.3,73.2,54.6,46,47.2,48.8,40.9,46.8
2009:Q2,GenX,7.5,13.1,20.7,24.4,3.3,7.4,9.1,10.8,11.5,36.4,36.7,39.4,14.3
2009:Q2,Millennial,0.5,1.1,1.5,4.8,0,0.6,0,0.4,1.2,3.8,2.7,9.2,0.4
2009:Q3,Silent,37.8,33,29.2,25.4,40.6,32.4,16.2,33.8,41,12.3,11.8,10,34.7
2009:Q3,BabyBoom,53.5,52.4,48.3,45.5,52.2,59.5,71.5,55.1,46.6,47.6,49.2,40.5,50.5
2009:Q3,GenX,8.2,13.5,20.9,24.3,7,7.5,12.1,10.8,11.2,36.3,36.5,39.7,14.3
2009:Q3,Millennial,0.5,1.2,1.6,4.9,0.1,0.6,0.2,0.3,1.2,3.9,2.6,9.7,0.5
2009:Q4,Silent,37,32.3,28.9,24.8,39.4,32,15.3,33.3,40.2,12.1,11.7,9.6,31
2009:Q4,BabyBoom,53.8,52.6,48.5,45.6,52.4,59.6,71,55.8,46.9,47.4,48.8,40.3,54.7
2009:Q4,GenX,8.5,13.7,20.7,24.3,7.9,7.6,13.3,10.7,11.5,36.3,36.6,40,13.8
2009:Q4,Millennial,0.6,1.3,1.8,5.2,0.2,0.7,0.4,0.2,1.4,4.2,3,10.1,0.5
2010:Q1,Silent,36.3,31.8,28.5,24.5,38.2,31.4,14.5,32.9,40.2,11.9,11.6,9.3,27.7
2010:Q1,BabyBoom,54.2,52.9,48.9,45.9,52.4,60.1,70.5,55.8,47.3,47.2,48.4,40.1,56.5
2010:Q1,GenX,8.8,13.9,20.6,24.2,9.1,7.8,14.5,10.9,11.1,36.3,36.6,40.3,14.7
2010:Q1,Millennial,0.7,1.4,2,5.4,0.4,0.8,0.5,0.3,1.4,4.6,3.4,10.4,1
2010:Q2,Silent,35.9,31.4,28.1,24,37.7,30.8,14.4,32.6,39.9,11.7,11.5,8.9,25.4
2010:Q2,BabyBoom,55,53.5,49.1,46.2,53.7,60.8,71.5,55.4,47.9,46.8,47.6,40.1,58.6
2010:Q2,GenX,8.5,13.6,20.6,24.1,8.3,7.7,13.7,11.3,10.8,36.4,36.8,40.4,14.8
2010:Q2,Millennial,0.6,1.5,2.2,5.6,0.3,0.7,0.5,0.7,1.4,5.1,4,10.5,1.2
2010:Q3,Silent,35,30.8,27.8,23.7,36.3,30.2,13.3,32.2,39.2,11.5,11.4,8.5,23.3
2010:Q3,BabyBoom,55.3,53.7,49.3,46.5,53,61.7,70.3,55.4,48.5,46.7,47.5,39.7,61.1
2010:Q3,GenX,9,13.9,20.5,24,10.1,7.5,15.7,11.5,10.8,36.4,36.7,40.8,14.4
2010:Q3,Millennial,0.7,1.6,2.4,5.8,0.6,0.6,0.7,0.9,1.5,5.5,4.4,11,1.2
2010:Q4,Silent,34.5,30.4,27.6,23.3,35.8,29.2,12.5,31.4,39.5,11.2,11.2,8.3,22.9
2010:Q4,BabyBoom,55.1,53.6,49.2,46.3,52.3,62.5,69.5,55.2,47.8,46.5,47.4,39.3,61.7
2010:Q4,GenX,9.7,14.4,20.7,24.3,11.2,7.7,17.1,12.6,11.2,36.5,36.9,40.6,14.1
2010:Q4,Millennial,0.8,1.6,2.5,6.1,0.7,0.5,0.9,0.9,1.6,5.8,4.5,11.7,1.4
2011:Q1,Silent,34,30,27.4,23,35.4,28.4,12,30.5,39.1,11,10.9,8.1,22.1
2011:Q1,BabyBoom,55,53.4,49,46,51.8,63.1,68.9,55,47.5,45.9,46.5,38.8,63.2
2011:Q1,GenX,10.3,14.9,21.1,24.6,12,7.9,18.1,13.7,11.7,36.8,37.4,40.6,13.1
2011:Q1,Millennial,0.7,1.7,2.6,6.4,0.8,0.6,1,0.9,1.7,6.4,5.1,12.5,1.6
2011:Q2,Silent,33.6,29.7,27.2,22.5,35.2,27.6,11.6,29.6,39,10.7,10.7,8,22
2011:Q2,BabyBoom,54.9,53.3,48.6,45.7,51.9,63.7,69,54.8,47.1,45.6,46.2,38.6,63.5
2011:Q2,GenX,10.7,15.2,21.5,25,12.1,8.1,18.4,14.8,12.1,37,37.7,40.3,13
2011:Q2,Millennial,0.8,1.8,2.7,6.7,0.8,0.6,1,0.8,1.8,6.8,5.4,13,1.5
2011:Q3,Silent,33.5,29.5,26.8,22.5,35.6,27,11.8,28.7,39,10.5,10.4,7.8,22.2
2011:Q3,BabyBoom,55.4,53.6,48.5,45.6,53.3,64.1,70.8,54.6,46.9,45,45.7,38,62.8
2011:Q3,GenX,10.5,15.2,22,25.1,10.5,8.3,16.6,15.9,12.3,37.2,38.1,40.2,13.5
2011:Q3,Millennial,0.6,1.8,2.7,6.8,0.5,0.7,0.8,0.8,1.8,7.3,5.8,13.9,1.6
2011:Q4,Silent,33,29.1,26.6,22.2,35.2,26.2,11.2,27.9,38.8,10.2,10.1,7.7,22.5
2011:Q4,BabyBoom,55.2,53.4,48.3,45.4,52.8,64.6,70,54.3,46.5,44.7,45.6,37.7,61.4
2011:Q4,GenX,11.1,15.7,22.2,25.3,11.4,8.4,17.9,17,12.9,37.4,38.3,40,14.5
2011:Q4,Millennial,0.7,1.9,2.8,7.1,0.6,0.7,0.9,0.9,1.9,7.6,6,14.7,1.5
2012:Q1,Silent,32.3,28.6,26.6,21.7,34.5,25.4,10.3,27,38.7,10,9.9,7.5,22
2012:Q1,BabyBoom,55,53.2,48,45.1,51.9,65.2,68.9,54.1,46,44,44.7,37.2,62.6
2012:Q1,GenX,11.9,16.2,22.5,25.7,12.8,8.6,19.6,18.1,13.3,37.7,38.7,39.8,13.8
2012:Q1,Millennial,0.7,2,3,7.5,0.8,0.7,1.2,0.8,2.1,8.3,6.8,15.5,1.7
2012:Q2,Silent,32,28.3,26,21.5,34.4,24.8,10.2,26.2,38.6,9.7,9.6,7.3,22
2012:Q2,BabyBoom,55.2,53.2,47.8,45,52.2,65.7,69.3,53.8,46.1,43.7,44.4,36.9,62.2
2012:Q2,GenX,12.2,16.5,23.1,25.8,12.7,8.8,19.3,19.1,13.3,37.8,38.9,39.5,14.1
2012:Q2,Millennial,0.7,2,3.1,7.6,0.8,0.8,1.1,0.9,2,8.8,7.1,16.2,1.6
2012:Q3,Silent,31.5,27.9,25.6,21.3,33.9,24.1,9.7,25.5,38.7,9.5,9.3,7.2,21.8
2012:Q3,BabyBoom,54.9,53.1,47.7,44.9,51.8,66.2,68.7,53.4,45.7,43.8,44.7,36.4,62.4
2012:Q3,GenX,12.9,16.9,23.5,26,13.4,8.9,20.3,20.1,13.5,37.8,39,39.3,14.1
2012:Q3,Millennial,0.8,2.1,3.2,7.8,0.9,0.8,1.3,1,2.1,8.9,7,17.2,1.7
2012:Q4,Silent,30.9,27.4,25.3,21.1,33.7,23.4,9.3,24.7,38.1,9.3,9.1,7,22.2
2012:Q4,BabyBoom,55.1,53,47.5,44.7,51.7,66.6,68.7,53.1,45.6,42.5,43.2,36,61.4
2012:Q4,GenX,13.3,17.3,23.8,26.2,13.6,9.1,20.7,21.2,14.1,38.2,39.5,39,14.8
2012:Q4,Millennial,0.7,2.2,3.4,8,0.9,0.9,1.3,1,2.3,10,8.2,17.9,1.6
2013:Q1,Silent,30.2,26.9,25,20.7,33,22.5,8.8,23.9,37.8,9.1,8.8,6.9,21.7
2013:Q1,BabyBoom,54.5,52.9,47.4,44.5,51,67.5,67.8,52.8,45.2,44.1,45.5,35.5,62.1
2013:Q1,GenX,14.2,17.8,24,26.4,14.8,9.2,21.9,22.2,14.5,37.8,39.1,38.7,14.4
2013:Q1,Millennial,1.1,2.3,3.6,8.4,1.2,0.8,1.5,1.1,2.4,9.1,6.6,18.9,1.8
2013:Q2,Silent,29.5,26.3,24.4,20.5,32.8,21.7,8.5,23.4,37.2,8.8,8.6,6.8,21.3
2013:Q2,BabyBoom,54.6,52.9,47.2,44.4,51,68.2,67.7,52.3,44.9,43.8,45.2,35.2,62.4
2013:Q2,GenX,14.7,18.3,24.6,26.6,15,9.3,22.2,23,15.1,37.8,39.4,38.3,14.3
2013:Q2,Millennial,1.2,2.5,3.8,8.6,1.2,0.8,1.6,1.3,2.7,9.5,6.8,19.7,2
2013:Q3,Silent,28.8,25.8,23.9,20.5,32.4,20.8,8,22.9,37,8.6,8.3,6.6,21.4
2013:Q3,BabyBoom,54.5,52.8,47.1,44.3,50.7,68.8,67,51.7,44.6,43.4,44.9,34.6,62.3
2013:Q3,GenX,15.4,18.8,25,26.6,15.6,9.5,23.3,23.7,15.5,38,39.6,38.1,14.4
2013:Q3,Millennial,1.3,2.6,3.9,8.6,1.3,0.8,1.8,1.6,2.9,10,7.1,20.7,1.9
2013:Q4,Silent,28.3,25.3,23.7,20.2,31.9,20.4,7.6,22.9,36,8.6,8.3,6.6,20.2
2013:Q4,BabyBoom,54.8,53.1,47,44.4,51,69.1,66.2,52.4,45.3,43.4,44.7,34,64.8
2013:Q4,GenX,15.5,18.8,25,26.5,15.6,9.7,24.2,23.1,15.5,37.7,39.7,38.2,11.9
2013:Q4,Millennial,1.4,2.7,4.2,8.9,1.4,0.8,2.1,1.6,3.1,10.3,7.3,21.3,3
2014:Q1,Silent,27.8,25,23.6,19.7,31.5,20.2,7.5,22.7,35.1,8.6,8.2,6.4,20.8
2014:Q1,BabyBoom,55.1,53.3,46.9,44.4,51.3,69,66,53.1,46.1,42.7,44,33.2,64.3
2014:Q1,GenX,15.5,18.8,25,26.5,15.7,10,24.3,22.6,15.4,37.8,39.9,38.4,11.6
2014:Q1,Millennial,1.5,2.9,4.5,9.3,1.5,0.8,2.2,1.5,3.4,10.9,7.9,22,3.3
2014:Q2,Silent,27.4,24.7,23.4,19.5,31.1,19.9,7.3,22.8,34.4,8.6,8.2,6.4,21.4
2014:Q2,BabyBoom,55.3,53.4,46.7,44.5,51.6,68.9,65.6,53.6,46.7,41.9,43.1,32.7,63.1
2014:Q2,GenX,15.6,18.8,25.2,26.4,15.7,10.3,24.7,21.9,15.3,37.9,40,38.5,11.8
2014:Q2,Millennial,1.6,3,4.7,9.7,1.6,0.9,2.4,1.7,3.5,11.6,8.7,22.5,3.6
2014:Q3,Silent,27.1,24.5,23.2,19.1,30.9,19.7,7.2,22.8,33.6,8.6,8.1,6.2,24.1
2014:Q3,BabyBoom,55.8,53.6,46.6,44.4,52.2,68.8,65.8,54,47.4,40.7,42.4,31.9,58.8
2014:Q3,GenX,15.5,18.7,25.2,26.3,15.4,10.5,24.5,21.3,15.2,38.4,40.2,38.6,13.8
2014:Q3,Millennial,1.7,3.2,5.1,10.1,1.5,0.9,2.5,1.9,3.8,12.4,9.3,23.3,3.3
2014:Q4,Silent,26.7,24.2,23.1,18.7,30.6,19.5,7,22.8,32.9,8.5,8.1,6.2,25.3
2014:Q4,BabyBoom,56,53.8,46.4,44.4,52.5,68.7,65.6,54.4,48,40,41.7,31.3,56.8
2014:Q4,GenX,15.4,18.7,25,26.3,15.3,10.8,24.8,20.8,15.1,38.5,40.3,38.7,14.4
2014:Q4,Millennial,1.8,3.4,5.4,10.6,1.6,1,2.6,2,4,13,9.9,23.8,3.5
2015:Q1,Silent,26.3,23.9,23,18.3,30.3,19.3,6.9,22.7,31.9,8.5,8,6.1,25.9
2015:Q1,BabyBoom,56.2,53.9,46.3,44.3,52.9,68.6,65.3,54.8,48.6,39.4,41.3,30.6,55.4
2015:Q1,GenX,15.5,18.7,25.1,26.3,15.3,11.1,25,20.4,15.2,38.6,40.4,38.8,14.7
2015:Q1,Millennial,2,3.6,5.7,11.1,1.6,1.1,2.8,2.1,4.3,13.5,10.3,24.5,4
2015:Q2,Silent,25.9,23.5,22.8,18,30,19.1,6.8,22.7,31.1,8.5,8,6,26.4
2015:Q2,BabyBoom,56.4,54,46,44.2,53.3,68.4,65.4,55.1,49.2,39,40.9,30.2,54.2
2015:Q2,GenX,15.5,18.7,25.2,26.2,15.1,11.3,24.9,19.9,15.2,38.6,40.5,38.8,14.9
2015:Q2,Millennial,2.1,3.7,6,11.6,1.6,1.1,2.9,2.3,4.5,13.9,10.7,25,4.5
2015:Q3,Silent,25.7,23.3,22.5,17.9,29.9,18.9,6.8,22.6,30.6,8.4,7.9,5.9,27.5
2015:Q3,BabyBoom,57,54.3,45.9,44.2,54.4,68.3,66.2,55.5,49.9,38.2,40.4,29.5,51.9
2015:Q3,GenX,15.2,18.5,25.4,26,14.3,11.6,24.1,19.5,14.9,38.8,40.6,38.8,15.7
2015:Q3,Millennial,2.1,3.8,6.2,11.8,1.4,1.2,2.9,2.4,4.6,14.5,11.1,25.8,4.9
2015:Q4,Silent,25.3,22.9,22.2,17.7,29.6,18.7,6.6,22.4,29.6,8.4,7.8,5.8,28.1
2015:Q4,BabyBoom,57.2,54.4,45.8,44.2,54.6,68.2,65.8,56,50.4,37.5,39.6,29.1,49.3
2015:Q4,GenX,15.4,18.6,25.5,25.9,14.4,11.9,24.6,19.2,15.1,39,40.8,38.8,16.8
2015:Q4,Millennial,2.2,4,6.5,12.1,1.5,1.3,3.1,2.4,4.9,15.1,11.9,26.2,5.8
2016:Q1,Silent,24.9,22.6,22,17.4,29.3,18.4,6.4,22.2,28.8,8.4,7.7,5.7,28.9
2016:Q1,BabyBoom,57.4,54.6,45.6,44.1,54.9,68.1,65.6,56.6,51,37,39.2,28.4,47.3
2016:Q1,GenX,15.4,18.7,25.5,25.9,14.3,12.1,24.8,18.9,15,39,40.8,38.8,17.5
2016:Q1,Millennial,2.4,4.2,6.8,12.7,1.5,1.4,3.2,2.3,5.2,15.6,12.2,27,6.4
2016:Q2,Silent,24.5,22.3,21.8,16.9,28.9,18.2,6.3,22.1,28.2,8.3,7.6,5.6,29.2
2016:Q2,BabyBoom,57.4,54.6,45.4,43.9,55.2,67.8,65.3,56.9,51.7,36.6,39,28,46.2
2016:Q2,GenX,15.5,18.7,25.6,25.9,14.3,12.6,25,18.6,14.8,39.1,40.9,38.8,17.5
2016:Q2,Millennial,2.5,4.4,7.2,13.4,1.5,1.4,3.4,2.5,5.3,16,12.5,27.5,7.1
2016:Q3,Silent,24.1,21.9,21.4,16.9,28.6,17.9,6.1,21.9,27.4,8.3,7.6,5.5,29.5
2016:Q3,BabyBoom,57.6,54.7,45.4,44,55.4,67.6,64.9,57.2,52,36,38.4,27.4,45.2
2016:Q3,GenX,15.7,18.9,25.9,25.7,14.4,13.1,25.4,18.3,15,39.1,41,38.8,17.5
2016:Q3,Millennial,2.6,4.5,7.3,13.5,1.6,1.5,3.6,2.6,5.6,16.6,13,28.3,7.9
2016:Q4,Silent,23.4,21.3,20.9,16.6,27.7,17.4,6.1,21,26.9,8,7.4,5.5,28.8
2016:Q4,BabyBoom,57.4,54.4,45.3,43.7,55.5,67.4,64,56.6,51.6,35.5,37.8,27.2,45.4
2016:Q4,GenX,16.5,19.6,26.2,26,15.1,13.6,26.1,19.6,15.8,39.2,41.1,38.4,18.3
2016:Q4,Millennial,2.7,4.7,7.7,13.6,1.6,1.6,3.8,2.7,5.7,17.3,13.7,28.9,7.5
2017:Q1,Silent,22.7,20.7,20.3,16.3,26.9,16.9,6,20.2,26.2,7.8,7.1,5.4,27
2017:Q1,BabyBoom,57,54.1,45.1,43.4,55.3,67.3,62.8,56,51.5,35.1,37.1,26.9,47.8
2017:Q1,GenX,17.4,20.3,26.6,26.4,16.1,14.1,27.2,21,16.4,39.1,41.2,38,18
2017:Q1,Millennial,2.8,4.8,8.1,13.9,1.7,1.7,4,2.8,5.9,18,14.5,29.7,7.2
2017:Q2,Silent,22.1,20.2,19.7,16,26,16.4,5.9,19.5,25.8,7.5,6.9,5.4,25
2017:Q2,BabyBoom,56.8,53.9,44.9,43.1,55.3,67.2,61.8,55,51.5,34.6,36.4,26.7,49.5
2017:Q2,GenX,18.2,21,27,26.8,17,14.6,28.1,22.2,16.8,39.1,41.3,37.6,18.3
2017:Q2,Millennial,2.9,5,8.3,14.1,1.7,1.8,4.2,3.3,6,18.7,15.3,30.3,7.3
2017:Q3,Silent,21.5,19.6,19.1,15.7,25.2,15.9,5.8,18.7,25.3,7.3,6.7,5.3,23.6
2017:Q3,BabyBoom,56.5,53.6,44.8,42.9,55.2,67.1,60.7,54.3,51.3,34.1,35.8,26.3,51
2017:Q3,GenX,19,21.6,27.4,27.2,17.8,15.1,29.1,23.5,17.3,39.1,41.4,37.2,18.4
2017:Q3,Millennial,3,5.2,8.7,14.2,1.8,1.9,4.5,3.5,6.1,19.5,16.1,31.1,6.9
2017:Q4,Silent,20.8,19.1,18.4,15.5,24.5,15.4,5.7,17.9,24.7,7.1,6.5,5.3,21.6
2017:Q4,BabyBoom,56.2,53.3,44.7,42.6,55,67,59.6,53.6,51.1,33.8,35.2,26.1,53.4
2017:Q4,GenX,19.8,22.3,27.9,27.5,18.7,15.6,30.1,24.7,18,38.9,41.5,36.9,18
2017:Q4,Millennial,3.1,5.3,9,14.4,1.9,2,4.7,3.8,6.2,20.2,16.8,31.8,7
2018:Q1,Silent,20.2,18.5,17.8,15.1,23.7,14.9,5.7,17.1,24,6.8,6.3,5.2,20
2018:Q1,BabyBoom,56,53.1,44.5,42.3,55.2,66.9,58.9,52.9,51,33.3,34.4,25.7,54.8
2018:Q1,GenX,20.6,22.9,28.3,27.9,19.3,16.1,30.6,26,18.6,38.9,41.6,36.5,18.2
2018:Q1,Millennial,3.2,5.5,9.4,14.7,1.9,2.1,4.8,3.9,6.4,21,17.7,32.5,6.9
2018:Q2,Silent,19.6,17.9,17.2,14.8,22.9,14.4,5.6,16.4,23.6,6.6,6.1,5.2,18.7
2018:Q2,BabyBoom,55.9,52.9,44.4,42,55.2,66.7,58.1,52.2,51.1,32.7,33.6,25.5,55
2018:Q2,GenX,21.3,23.5,28.8,28.3,20,16.6,31.3,27.2,18.9,38.9,41.6,36.2,19.2
2018:Q2,Millennial,3.3,5.6,9.6,14.9,1.9,2.2,5,4.2,6.4,21.8,18.7,33.1,7.1
2018:Q3,Silent,19,17.4,16.7,14.5,22.2,14,5.5,15.7,23.2,6.3,5.9,5.1,17.5
2018:Q3,BabyBoom,55.7,52.7,44.3,41.7,55,66.6,57,51.5,51.3,32.2,32.9,25.2,56.1
2018:Q3,GenX,22,24.1,29.1,28.6,20.8,17.1,32.2,28.5,19.2,38.8,41.7,35.8,19.6
2018:Q3,Millennial,3.3,5.8,9.9,15.1,2,2.3,5.3,4.4,6.3,22.6,19.6,33.9,6.9
2018:Q4,Silent,18.4,16.8,16.1,14.3,21.1,13.5,5.7,14.8,22.6,6.1,5.7,5,16.4
2018:Q4,BabyBoom,55.9,52.7,44.2,41.5,56.2,66.4,57.3,50.8,51.4,31.6,32.2,25,55.4
2018:Q4,GenX,22.4,24.6,29.4,29,21.3,17.6,31.9,29.8,19.6,38.9,41.7,35.5,21.2
